,city,lat,lng,max temp,humidity,wind speed,cloudiness,country,date
277,Tutin,42.9903,20.3314,54.79,66,1.59,13,RS,1666724246
278,Tateyama,34.9833,139.8667,55.09,75,30.29,100,JP,1666724246
279,Korem,12.5058,39.5228,59.31,64,5.08,47,ET,1666724246
280,San Miguel,13.4833,-88.1833,84.15,78,3.42,100,SV,1666724247
281,Chui,-33.6971,-53.4616,67.71,65,13.06,1,UY,1666723698
282,Manali,13.1667,80.2667,78.89,64,6.53,0,IN,1666724248
283,Varhaug,58.6147,5.6457,53.15,92,3.58,100,NO,1666724248
284,Sur,22.5667,59.5289,81.03,49,5.41,0,OM,1666724039
285,Athmallik,20.7219,84.5348,69.15,81,0.85,31,IN,1666724249
286,Nelson Bay,-32.7167,152.15,66.0,97,10.0,33,AU,1666723770
287,Ust-Nera,64.5667,143.2,14.41,96,9.01,100,RU,1666724249
288,Magomeni,-6.8,39.25,77.38,83,8.05,75,TZ,1666724250
289,Ayan,56.45,138.1667,36.14,57,9.26,100,RU,1666724250
290,Flinders,-34.5833,150.8552,65.25,89,4.0,62,AU,1666723968
291,Feijó,-8.1642,-70.3536,94.21,41,4.88,49,BR,1666723993
292,Mount Isa,-20.7333,139.5,73.17,94,3.44,75,AU,1666724251
293,Te Anau,-45.4167,167.7167,47.8,88,4.52,100,NZ,1666723816
294,Iskateley,67.6803,53.1512,22.8,89,7.31,52,RU,1666724252
295,Umm Kaddadah,13.6017,26.6876,82.17,19,13.65,2,SD,1666724252
296,Kamaishi,39.2667,141.8833,50.58,72,10.38,98,JP,1666724252
297,Ponta do Sol,32.6667,-17.1,73.0,88,4.38,85,PT,1666723777
298,Viedma,-40.8135,-62.9967,81.09,23,15.61,100,AR,1666723696
299,Tura,25.5198,90.2201,64.13,96,2.68,61,IN,1666724253
300,Bambanglipuro,-7.95,110.2833,76.42,84,4.94,100,ID,1666724253
301,Calama,-22.4667,-68.9333,72.09,9,23.02,0,CL,1666724254
302,Baykal'sk,51.5058,104.1469,33.22,49,4.85,0,RU,1666724254
303,Henties Bay,-22.116,14.2845,59.04,93,6.06,57,NA,1666724255
304,Hirara,24.8,125.2833,74.19,63,18.79,100,JP,1666723833
305,Isangel,-19.55,169.2667,71.71,88,1.14,100,VU,1666723799
306,Poltavka,54.3663,71.7632,31.69,80,7.18,100,RU,1666724255
307,Wekiva Springs,28.6986,-81.4256,87.1,52,1.99,1,US,1666724256
308,Lixouri,38.2019,20.4314,69.04,64,6.85,1,GR,1666724256
309,Lichinga,-13.3128,35.2406,73.49,49,9.22,40,MZ,1666724257
310,Madingou,-4.1536,13.55,77.58,87,3.15,100,CG,1666724257
311,Adolfo López Mateos,28.4667,-107.3,62.92,22,6.17,0,MX,1666724258
312,Port Said,31.2565,32.2841,75.18,88,13.8,40,EG,1666724258
313,Sfântu Gheorghe,45.8667,25.7833,60.57,53,6.89,100,RO,1666724258
314,Elmira,42.0898,-76.8077,70.12,76,9.22,100,US,1666724024
315,Santa Rosalía,27.3167,-112.2833,74.7,39,8.97,0,MX,1666724260
316,Canutama,-6.5339,-64.3831,86.63,67,2.73,100,BR,1666724260
317,Ust-Maya,60.4167,134.5333,13.5,97,4.76,71,RU,1666724261
318,Bairiki Village,1.3292,172.9752,80.6,83,5.75,75,KI,1666724261
319,Kushima,31.4583,131.2333,56.44,77,8.77,0,JP,1666724262
320,Ancud,-41.8697,-73.8203,55.81,73,15.19,37,CL,1666723717
321,Laas,46.6166,10.7002,54.48,90,2.53,53,IT,1666723705
322,Stuttgart,48.7823,9.177,57.76,90,1.14,0,DE,1666724262
323,Brora,58.0099,-3.8518,53.89,86,7.23,100,GB,1666724263
324,Marovoay,-16.1,46.6333,77.02,77,2.33,0,MG,1666724263
325,Kovylkino,54.0388,43.9139,34.45,84,4.12,64,RU,1666724263
326,Sindor,62.8629,51.8905,28.09,92,4.41,81,RU,1666724264
327,Todos Santos,23.45,-110.2167,87.04,61,8.25,10,MX,1666724264
328,Sydney,-33.8679,151.2073,65.5,82,4.61,0,AU,1666724101
329,Borba,-4.3878,-59.5939,82.31,75,5.26,100,BR,1666724265
330,Ngunguru,-35.6167,174.5,58.75,76,8.75,70,NZ,1666724265
331,Bowen,-20.0167,148.2333,76.57,94,4.43,88,AU,1666724266
332,Keelung,25.1283,121.7419,70.95,71,12.68,100,TW,1666724266
333,Caluquembe,-13.7833,14.6833,65.66,80,1.86,100,AO,1666724267
334,Puerto Madryn,-42.7692,-65.0385,63.79,40,10.83,94,AR,1666724267
335,Bandarbeyla,9.4942,50.8122,78.28,75,3.96,28,SO,1666724268
336,Lieksa,63.3167,30.0167,32.61,90,8.34,97,FI,1666724268
337,Mehamn,71.0357,27.8492,33.75,69,12.66,75,NO,1666724268
338,Oruzgan,32.8333,66.0,57.45,19,3.8,1,AF,1666724269
339,Novochernorechenskiy,56.2669,91.0828,29.19,64,4.09,7,RU,1666724269
340,Behshahr,36.6923,53.5526,62.55,86,3.42,1,IR,1666724270
341,Kodār,16.9833,79.9667,69.76,71,5.64,2,IN,1666724270
342,Thiadiaye,14.4205,-16.7056,85.01,57,10.02,100,SN,1666724270
343,Newport,51.5877,-2.9984,60.03,87,14.56,100,GB,1666724271
344,Pestravka,52.405,49.9583,38.26,71,8.16,100,RU,1666724271
345,Cassilândia,-19.1133,-51.7342,95.52,19,7.27,0,BR,1666724272
346,Manta,-0.95,-80.7333,76.78,69,13.8,100,EC,1666723843
347,Deming,32.2687,-107.7586,58.46,16,3.76,0,US,1666724200
348,Dzaoudzi,-12.7887,45.2699,78.69,78,9.22,40,YT,1666724272
349,Itarema,-2.9248,-39.9167,82.47,63,18.14,53,BR,1666724244
350,Balabac,7.9868,117.0645,80.82,79,8.25,100,PH,1666724273
351,Glendive,47.1053,-104.7125,47.48,62,18.01,27,US,1666724273
352,Bundaberg,-24.85,152.35,74.21,99,5.75,100,AU,1666724274
353,Ilhabela,-23.7781,-45.3581,71.24,78,4.63,56,BR,1666724274
354,Aguçadoura,41.4318,-8.7804,66.76,91,20.54,15,PT,1666724275
355,Cheyenne,41.14,-104.8203,50.23,36,18.01,75,US,1666724106
356,Rykhtychi,49.3851,23.5566,52.02,93,6.51,54,UA,1666724275
357,Plettenberg Bay,-34.0527,23.3716,58.87,84,7.54,100,ZA,1666724276
358,Quatre Cocos,-20.2078,57.7625,73.09,75,11.12,10,MU,1666723839
359,Sorong,-0.8833,131.25,79.39,86,4.99,70,ID,1666724276
360,Esna,25.2934,32.554,75.22,35,9.75,0,EG,1666723796
361,Ketchikan,55.3422,-131.6461,40.33,96,0.87,100,US,1666724102
362,Otradnoye,59.7775,30.8181,35.65,74,8.03,100,RU,1666724277
363,Caucayá,-0.1934,-74.7819,92.64,44,1.48,100,CO,1666724278
364,Nioro,13.35,-15.75,83.25,62,2.19,100,GM,1666724278
365,Yenotayevka,47.2456,47.0281,43.93,74,8.03,6,RU,1666724279
366,Inírida,3.8653,-67.9239,91.26,50,0.2,100,CO,1666723726
367,Vila,42.0304,-8.1588,54.48,88,8.28,93,PT,1666724279
368,Tutóia,-2.7619,-42.2744,82.8,69,14.41,83,BR,1666724280
369,Camopi,3.1655,-52.3158,92.66,40,4.12,100,GF,1666724280
370,Ushtobe,45.2514,77.9838,47.55,59,5.46,100,KZ,1666724280
371,Ndioum,16.5129,-14.6471,93.09,36,12.06,100,SN,1666724281
372,Nova Olímpia,-14.7972,-57.2881,91.51,45,6.24,85,BR,1666723993
373,Xiangxiang,27.7333,112.5333,61.83,48,2.62,12,CN,1666724282
374,Solntsevo,51.4185,36.7499,46.9,91,7.05,100,RU,1666724282
375,Myanaung,18.2833,95.3167,74.41,94,1.1,28,MM,1666724283
376,Monrovia,6.3005,-10.7969,80.37,86,8.19,56,LR,1666724283
377,Waipawa,-41.4122,175.5153,46.72,73,5.48,12,NZ,1666724284
378,Sahuaripa,29.05,-109.2333,77.7,34,3.33,0,MX,1666724284
379,Leningradskiy,69.3833,178.4167,1.96,91,4.92,81,RU,1666724285
380,Matozinhos,-19.5578,-44.0814,89.28,39,8.05,40,BR,1666724285
381,Moussoro,13.6408,16.4901,87.89,13,14.58,9,TD,1666724010
382,Mackay,-21.15,149.2,71.69,82,3.13,21,AU,1666724286
383,Kokopo,-4.352,152.2633,77.63,80,4.47,43,PG,1666724286
384,Sørland,67.667,12.6934,44.46,65,4.38,100,NO,1666724286
385,Rawson,-43.3002,-65.1023,64.04,39,13.4,100,AR,1666723846
386,Port-Gentil,-0.7193,8.7815,80.56,89,10.36,40,GA,1666724287
387,City of San Pedro,14.35,121.0167,76.23,95,3.44,100,PH,1666724287
388,Misawa,40.6836,141.3597,45.55,70,2.19,79,JP,1666724288
389,Fortuna,40.5982,-124.1573,56.93,87,4.61,20,US,1666724288
390,Povenets,62.8487,34.8262,33.51,85,6.42,61,RU,1666724289
391,Pacific Grove,36.6177,-121.9166,68.65,82,5.99,85,US,1666724289
392,Rāvar,31.2656,56.8055,68.88,21,0.54,21,IR,1666724289
393,Vestmanna,62.1564,-7.1664,49.12,93,8.05,100,FO,1666724290
394,Tual,-5.6667,132.75,82.58,73,4.09,100,ID,1666724042
395,Erenhot,43.6475,111.9767,36.03,61,13.58,5,CN,1666724290
396,Thinadhoo,0.5333,72.9333,82.92,75,12.21,64,MV,1666724291
397,Manacapuru,-3.2997,-60.6206,86.2,63,5.26,96,BR,1666724291
398,Dakar,14.6937,-17.4441,85.08,79,9.22,20,SN,1666723845
399,Lagoa,39.05,-27.9833,63.43,66,21.12,31,PT,1666723804
400,Perleberg,53.0667,11.8667,51.67,88,7.43,5,DE,1666724292
401,Sola,-13.8833,167.55,72.27,100,0.0,20,VU,1666724293
402,Hare Bay,48.8499,-54.0148,67.6,57,2.64,2,CA,1666724293
403,Aleksandrovskiy Zavod,50.9237,117.9374,23.32,53,5.5,17,RU,1666724293
404,Stettler,52.3168,-112.7186,42.75,100,10.36,60,CA,1666724294
405,Vardø,70.3705,31.1107,30.18,80,21.85,0,NO,1666723717
406,Bubaque,11.2833,-15.8333,85.28,72,11.88,7,GW,1666723748
407,Tecpan,14.7623,-90.9947,70.9,72,4.92,73,GT,1666724294
408,College,64.8569,-147.8028,22.21,89,1.99,9,US,1666724295
409,Shingū,33.7333,135.9833,50.13,76,5.82,0,JP,1666723746
410,Lorengau,-2.0226,147.2712,80.96,71,1.77,100,PG,1666724295
411,Pisco,-13.7,-76.2167,64.02,77,12.3,4,PE,1666723696
412,Lata,40.1629,-8.3327,65.8,84,5.12,5,PT,1666724296
413,Kruisfontein,-34.0033,24.7314,62.89,78,12.37,100,ZA,1666724296
414,Zhangjiakou,40.81,114.8794,52.39,48,0.78,100,CN,1666724297
415,Turukhansk,65.8167,87.9833,28.74,97,14.85,100,RU,1666723732
416,Road Town,18.4167,-64.6167,87.84,74,8.05,40,VG,1666724170
417,Long Beach,33.767,-118.1892,78.96,38,4.61,0,US,1666723809
418,Mēga,4.05,38.3,63.0,72,7.34,82,ET,1666724297
419,Soverato Marina,38.685,16.5499,67.95,64,10.51,60,IT,1666724298
420,Synya,65.3718,58.0387,24.04,98,2.68,95,RU,1666724298
421,Aykhal,66.0,111.5,12.96,94,14.94,20,RU,1666724299
422,Sompeta,18.9333,84.6,76.3,71,3.49,1,IN,1666724299
423,Lüleburgaz,41.4039,27.3592,64.24,52,3.78,8,TR,1666724300
424,Colombo,6.9319,79.8478,80.55,86,1.39,93,LK,1666724166
425,Scottsbluff,41.8666,-103.6672,54.55,38,14.0,47,US,1666724128
426,Whitehorse,60.7161,-135.0538,18.37,79,5.75,75,CA,1666724067
427,San Angelo,31.4638,-100.437,70.95,30,4.0,0,US,1666724206
428,Naryan-Mar,67.6713,53.087,23.13,88,7.47,45,RU,1666724301
429,Hollola,61.05,25.4333,39.85,97,9.46,100,FI,1666724301
430,Dothan,31.2232,-85.3905,83.84,38,13.65,100,US,1666724074
431,Azul,-36.777,-59.8585,79.43,40,11.3,100,AR,1666724302
432,Comodoro Rivadavia,-45.8667,-67.5,60.66,44,18.41,40,AR,1666723843
433,Rondonópolis,-16.4708,-54.6356,99.16,26,1.5,47,BR,1666724197
434,Quelimane,-17.8786,36.8883,78.75,83,11.99,0,MZ,1666724303
435,Lewiston,44.1003,-70.2148,66.42,96,6.62,56,US,1666724303
436,‘Ewa Beach,21.3156,-158.0072,81.84,70,17.27,0,US,1666723751
437,Palana,59.1167,159.9667,31.24,89,29.01,100,RU,1666724241
438,Bambous Virieux,-20.3428,57.7575,73.22,73,12.66,40,MU,1666723763
439,Xining,36.6167,101.7667,46.15,86,0.65,100,CN,1666724217
440,Kupang,-10.1667,123.5833,79.43,82,4.45,100,ID,1666724304
441,Agirish,61.9247,63.0231,27.21,92,6.29,57,RU,1666724304
442,Chu,43.5983,73.7614,53.85,59,1.63,100,KZ,1666724305
443,Eenhana,-17.4667,16.3333,75.4,48,5.59,21,NA,1666724305
444,Jalu,29.0331,21.5482,74.19,39,7.14,0,LY,1666724306
445,Carballo,43.213,-8.691,65.75,88,11.86,94,ES,1666724307
446,Chara,56.9064,118.2631,17.49,67,2.51,51,RU,1666724308
447,Camaná,-16.6228,-72.7111,66.51,69,9.04,51,PE,1666723850
448,Livingston,55.9029,-3.5226,55.76,81,5.75,75,GB,1666724308
449,Paraíso,9.8383,-83.8656,75.11,77,2.73,98,CR,1666724309
450,Brae,60.3964,-1.353,51.69,91,8.21,100,GB,1666724309
451,Dunedin,-45.8742,170.5036,45.81,81,1.99,100,NZ,1666723838
452,Ambilobe,-13.2,49.05,72.93,75,7.16,19,MG,1666724310
453,Esperance,-33.8667,121.9,57.04,80,9.69,66,AU,1666724310
454,Humaitá,-7.5061,-63.0208,79.57,81,2.91,100,BR,1666724310
455,Aasiaat,68.7098,-52.8699,29.05,89,15.73,100,GL,1666724311
456,Nuuk,64.1835,-51.7216,32.88,81,4.0,93,GL,1666724311
457,Havre-St-Pierre,50.2334,-63.5986,59.36,67,5.75,0,CA,1666724312
458,Desaguadero,-16.5656,-69.0417,61.68,31,15.95,34,PE,1666724312
459,Cheney,47.4874,-117.5758,46.31,87,13.42,94,US,1666724313
460,Waingapu,-9.6567,120.2641,80.31,79,1.99,99,ID,1666723734
461,Akdepe,42.0551,59.3788,51.89,56,11.45,91,TM,1666724313
462,Naantali,60.4674,22.0243,51.12,100,9.22,100,FI,1666724313
463,Zhob,31.3411,69.4481,65.41,21,0.92,0,PK,1666724314
464,Saint-Estève,42.7131,2.843,65.82,92,3.44,20,FR,1666724315
465,Tokuyama,34.05,131.8167,50.5,69,5.79,0,JP,1666724315
466,Stornoway,58.2093,-6.3865,53.92,94,10.36,75,GB,1666724315
467,Taksimo,56.3444,114.8794,18.14,75,3.87,76,RU,1666724316
468,Ayorou,14.7308,0.9174,91.96,17,10.31,4,NE,1666724316
469,Catuday,16.2923,119.8062,78.69,76,9.37,100,PH,1666724317
470,Abu Dhabi,24.4667,54.3667,86.02,63,5.75,0,AE,1666723490
471,Vancouver,49.2497,-123.1193,49.42,92,13.8,100,CA,1666723794
472,Srednekolymsk,67.45,153.6833,8.76,95,10.89,100,RU,1666724317
473,Vanavara,60.34,102.2797,28.17,80,10.8,95,RU,1666724318
474,Arlit,18.7369,7.3853,84.24,14,16.17,0,NE,1666723861
475,Nyurba,63.2842,118.3319,23.56,93,8.37,57,RU,1666724318
476,Port Hardy,50.6996,-127.4199,44.78,93,5.75,75,CA,1666724319
477,Saquarema,-22.92,-42.5103,77.14,79,9.98,36,BR,1666724319
478,Broken Hill,-31.95,141.4333,61.18,67,2.21,99,AU,1666724320
479,Husavik,66.0449,-17.3389,35.56,87,6.76,100,IS,1666723821
480,Toma,12.7667,-2.8833,87.53,24,5.48,55,BF,1666724320
481,Alyangula,-13.8483,136.4192,82.08,79,14.14,14,AU,1666724321
482,Toamasina,-18.1667,49.3833,75.2,83,6.91,20,MG,1666724322
483,Neyyāttinkara,8.4,77.0833,80.46,90,4.56,50,IN,1666724324
484,Watrous,51.6668,-105.4679,31.78,86,6.91,100,CA,1666724270
485,Mossamedes,-15.1961,12.1522,70.14,82,8.93,64,AO,1666724063
486,Arrondissement d'Issoudun,47.0,1.8333,63.25,77,6.91,0,FR,1666724324
487,Beyneu,45.3167,55.2,51.96,75,19.22,100,KZ,1666724326
488,Mandalgovi,45.7625,106.2708,21.06,64,7.54,5,MN,1666724326
489,Llangefni,53.2556,-4.3106,58.73,85,14.97,100,GB,1666724327
490,Kungurtug,50.5994,97.5228,19.62,45,1.61,0,RU,1666724327
491,Jacareacanga,-6.2222,-57.7528,76.64,86,1.23,100,BR,1666724327
492,Biltine,14.5333,20.9167,81.3,15,10.29,0,TD,1666724328
493,Kungälv,57.871,11.9805,54.25,93,1.01,44,SE,1666724328
494,Bataiporã,-22.2953,-53.2711,89.62,26,1.81,0,BR,1666724329
495,Puerto Carreño,6.189,-67.4859,91.38,52,3.44,20,CO,1666724329
496,Dillon,34.4166,-79.3712,78.87,37,2.62,6,US,1666724330
497,Canavieiras,-15.675,-38.9472,76.93,74,4.72,100,BR,1666724330
498,Mana,5.6592,-53.7767,83.5,67,8.97,100,GF,1666724330
499,Nantucket,41.2835,-70.0995,68.09,96,9.75,63,US,1666724161
500,Polunochnoye,60.8697,60.4153,26.01,74,4.99,8,RU,1666724331
501,Grindavik,63.8424,-22.4338,46.35,87,8.05,0,IS,1666723746
502,Massakory,12.996,15.7293,87.84,16,13.38,13,TD,1666724331
503,Nindirí,12.0039,-86.1213,85.96,62,6.91,40,NI,1666724332
504,Kostomuksha,64.571,30.5767,28.49,91,4.83,100,RU,1666724333
505,Omboué,-1.5746,9.2618,77.67,86,2.57,100,GA,1666724334
506,Jiwani,25.05,61.7417,81.23,82,10.09,0,PK,1666724334
507,Dukat,62.55,155.55,7.38,84,11.43,15,RU,1666724335
508,Hamilton,39.1834,-84.5333,76.19,50,18.41,75,US,1666723731
509,Visby,57.6409,18.296,55.62,88,13.8,0,SE,1666724336
510,Talcahuano,-36.7167,-73.1167,58.68,77,16.11,75,CL,1666724336
511,Riyadh,24.6877,46.7219,73.54,15,9.55,0,SA,1666723775
512,Qiongshan,20.0058,110.3542,75.18,88,11.18,20,CN,1666724336
513,Lere,10.387,8.5726,75.74,43,4.41,85,NG,1666724337
514,Bela,25.9333,81.9833,69.84,52,4.74,0,IN,1666724337
515,Calatayud,41.3535,-1.6432,67.32,42,12.53,87,ES,1666724338
516,Tommot,58.9564,126.2925,24.6,86,10.27,100,RU,1666724338
517,Wanning,18.8003,110.3967,76.24,89,14.2,93,CN,1666724339
518,Puerto Escondido,15.85,-97.0667,84.61,76,9.01,69,MX,1666723744
519,Amurzet,47.6967,131.0981,34.68,60,3.36,83,RU,1666724339
520,Villaviciosa,43.4813,-5.4357,66.96,87,5.46,6,ES,1666724339
521,Bac Lieu,9.285,105.7244,78.96,83,1.28,100,VN,1666724340
522,Nanortalik,60.1432,-45.2371,34.97,72,4.81,3,GL,1666724340
523,Coquimbo,-29.9533,-71.3436,60.53,63,11.5,75,CL,1666724341
524,Mandan,46.8267,-100.8896,45.61,68,21.85,0,US,1666724126
525,Sterling,39.0062,-77.4286,70.68,78,4.61,100,US,1666724197
526,Shenjiamen,29.9576,122.298,65.73,62,8.7,100,CN,1666723766
527,Griffith,41.5284,-87.4237,60.12,95,6.91,100,US,1666724342
528,Shangrao,28.4532,117.9686,62.22,53,5.77,100,CN,1666724342
529,Araçuaí,-16.8497,-42.0703,89.46,35,7.07,38,BR,1666724343
530,Inhambane,-23.865,35.3833,77.29,88,14.61,2,MZ,1666724343
531,Noshiro,40.2039,140.0242,42.66,72,6.87,0,JP,1666724343
532,Петровец,41.9389,21.615,59.11,82,5.75,0,MK,1666724344
533,Poso,-1.3959,120.7524,78.26,84,4.32,100,ID,1666724345
534,Teluk Nibung,3.001,99.8164,76.46,92,5.32,100,ID,1666724346
535,San Miguel de Tucumán,-26.8241,-65.2226,100.4,22,20.71,0,AR,1666724346
536,Atambua,-9.1061,124.8925,75.81,86,0.54,100,ID,1666724347
537,Sinnamary,5.3833,-52.95,84.34,68,10.6,100,GF,1666723832
538,Sinop Province,41.7711,34.8709,54.75,55,7.2,1,TR,1666724347
539,Vao,-22.6667,167.4833,72.91,77,21.39,100,NC,1666724348
540,Sooke,48.3746,-123.7276,51.08,93,12.66,92,CA,1666724348
541,Kétou,7.3633,2.5998,77.02,91,4.59,100,BJ,1666724349
542,Wadi Maliz,36.4681,8.5495,74.86,20,1.63,81,TN,1666724119
543,Labuhan,-6.8844,112.2051,77.85,82,11.61,76,ID,1666724350
544,Nurota,40.5614,65.6886,54.01,87,16.2,92,UZ,1666724350
545,Paamiut,61.994,-49.6678,32.38,77,15.75,13,GL,1666724351
546,Port Hedland,-20.3167,118.5667,68.05,73,8.05,0,AU,1666724351
547,Rincon,32.296,-81.2354,78.94,52,1.01,11,US,1666724352
548,Shawinigan,46.5668,-72.7491,66.69,100,3.44,100,CA,1666724353
549,Uglegorsk,49.0833,142.0333,40.95,78,6.2,55,RU,1666724353
550,Grasse,43.6667,6.9167,63.09,91,3.44,0,FR,1666724354
551,Vysokovsk,56.3167,36.55,31.24,76,5.32,48,RU,1666724354
552,Banda Aceh,5.5577,95.3222,79.39,82,9.31,86,ID,1666724355
553,Flagstaff,35.1981,-111.6513,58.82,27,3.44,0,US,1666724089
554,Nha Trang,12.25,109.1833,78.8,93,5.03,99,VN,1666724355
